episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_faulty_episodes,num_healthy_workers,num_in_flight_async_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,num_env_steps_sampled_throughput_per_sec,num_env_steps_trained_throughput_per_sec,timesteps_total,num_steps_trained_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,checkpoint_dir_name,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,sampler_results/episode_reward_max,sampler_results/episode_reward_min,sampler_results/episode_reward_mean,sampler_results/episode_len_mean,sampler_results/episodes_this_iter,sampler_results/num_faulty_episodes,hist_stats/episode_reward,hist_stats/episode_lengths,timers/training_iteration_time_ms,timers/sample_time_ms,timers/synch_weights_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,sampler_results/hist_stats/episode_reward,sampler_results/hist_stats/episode_lengths,info/learner/__all__/num_agent_steps_trained,info/learner/__all__/num_env_steps_trained,info/learner/__all__/total_loss,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_loss_unclipped,info/learner/default_policy/vf_explained_var,info/learner/default_policy/entropy,info/learner/default_policy/mean_kl_loss,info/learner/default_policy/default_optimizer_lr,info/learner/default_policy/curr_lr,info/learner/default_policy/curr_entropy_coeff,info/learner/default_policy/curr_kl_coeff
-3.907985046680551e-14,-1.3722356584366935e-13,-8.332802040970459e-14,1600.0,0,0,3,0,0,11264,0,5632,0,512,0,42.89675980677834,0.0,5632,0,11264,False,3,11,31dd4_00000,2025-05-08_17-42-50,1746722570,11.94355034828186,102.96672177314758,48584,SUMO,10.0.2.15,102.96672177314758,11,checkpoint_000001,5632,0,11264,0,-3.907985046680551e-14,-1.3722356584366935e-13,-8.332802040970459e-14,1600.0,0,0,"[-3.907985046680551e-14, -7.36806449186389e-14, -1.3722356584366935e-13]","[1600, 1600, 1600]",8286.052,6780.999,58.948,5632,0,11264,0,34.586666666666666,72.81333333333332,"[-3.907985046680551e-14, -7.36806449186389e-14, -1.3722356584366935e-13]","[1600, 1600, 1600]",64.0,1024.0,1.2319272853434087,1.2319272853434087,-0.05389357572421431,5.395463548135012,67.07798088667914,-0.03259241208434105,0.6326856818050146,0.0476890733109749,2e-05,2e-05,0.1,0.007031250279396772
-3.907985046680551e-14,-1.3722356584366935e-13,-8.332802040970459e-14,1600.0,0,0,3,0,0,12288,0,6144,0,512,0,91.2211514044766,0.0,6144,0,12288,False,3,12,31dd4_00000,2025-05-08_17-42-56,1746722576,5.628766775131226,108.59548854827881,48584,SUMO,10.0.2.15,108.59548854827881,12,,6144,0,12288,0,-3.907985046680551e-14,-1.3722356584366935e-13,-8.332802040970459e-14,1600.0,0,0,"[-3.907985046680551e-14, -7.36806449186389e-14, -1.3722356584366935e-13]","[1600, 1600, 1600]",8207.206,6687.007,52.434,6144,0,12288,0,23.142857142857142,72.82857142857144,"[-3.907985046680551e-14, -7.36806449186389e-14, -1.3722356584366935e-13]","[1600, 1600, 1600]",64.0,1024.0,-0.07302269579377026,-0.07302269579377026,-0.009324849722906947,0.002215759237878956,0.002215759237878956,-0.9897786594927311,0.643296466395259,0.011073748840428266,2e-05,2e-05,0.1,0.007031250279396772
-3.907985046680551e-14,-1.3722356584366935e-13,-8.332802040970459e-14,1600.0,0,0,3,0,0,13312,0,6656,0,512,0,93.7875094699902,0.0,6656,0,13312,False,3,13,31dd4_00000,2025-05-08_17-43-01,1746722581,5.474002122879028,114.06949067115784,48584,SUMO,10.0.2.15,114.06949067115784,13,,6656,0,13312,0,-3.907985046680551e-14,-1.3722356584366935e-13,-8.332802040970459e-14,1600.0,0,0,"[-3.907985046680551e-14, -7.36806449186389e-14, -1.3722356584366935e-13]","[1600, 1600, 1600]",8259.456,6720.901,43.483,6656,0,13312,0,47.412499999999994,72.725,"[-3.907985046680551e-14, -7.36806449186389e-14, -1.3722356584366935e-13]","[1600, 1600, 1600]",64.0,1024.0,-0.0685472543376818,-0.0685472543376818,-0.004634462378453464,0.0001941865717071778,0.0001941865717071778,-0.9967392779886722,0.6401470139622688,0.0075892101299871225,2e-05,2e-05,0.1,0.007031250279396772
-3.907985046680551e-14,-1.3722356584366935e-13,-8.332802040970459e-14,1600.0,0,0,3,0,0,14336,0,7168,0,512,0,75.09931362726327,0.0,7168,0,14336,False,3,14,31dd4_00000,2025-05-08_17-43-08,1746722588,6.828862428665161,120.898353099823,48584,SUMO,10.0.2.15,120.898353099823,14,,7168,0,14336,0,-3.907985046680551e-14,-1.3722356584366935e-13,-8.332802040970459e-14,1600.0,0,0,"[-3.907985046680551e-14, -7.36806449186389e-14, -1.3722356584366935e-13]","[1600, 1600, 1600]",8155.725,6609.284,36.52,7168,0,14336,0,24.81111111111111,72.71111111111112,"[-3.907985046680551e-14, -7.36806449186389e-14, -1.3722356584366935e-13]","[1600, 1600, 1600]",64.0,1024.0,-0.06159314682790864,-0.06159314682790864,0.0002361759776249528,2.1518531434594478e-05,2.1518531434594478e-05,-0.9998616002500057,0.6183693073689938,0.00031700478045024736,2e-05,2e-05,0.1,0.003515625139698386
-3.907985046680551e-14,-1.3722356584366935e-13,-8.332802040970459e-14,1600.0,0,0,3,0,0,15360,0,7680,0,512,0,102.72270322484299,0.0,7680,0,15360,False,3,15,31dd4_00000,2025-05-08_17-43-13,1746722593,4.998680830001831,125.89703392982483,48584,SUMO,10.0.2.15,125.89703392982483,15,,7680,0,15360,0,-3.907985046680551e-14,-1.3722356584366935e-13,-8.332802040970459e-14,1600.0,0,0,"[-3.907985046680551e-14, -7.36806449186389e-14, -1.3722356584366935e-13]","[1600, 1600, 1600]",7921.063,6359.932,32.219,7680,0,15360,0,34.03333333333334,72.78333333333335,"[-3.907985046680551e-14, -7.36806449186389e-14, -1.3722356584366935e-13]","[1600, 1600, 1600]",64.0,1024.0,-0.06265569190800306,-0.06265569190800306,-0.0024681226117536426,3.622846011097636e-06,3.622846011097636e-06,-0.8577654153108597,0.6019391562789679,0.0015480184488922077,2e-05,2e-05,0.1,0.001757812569849193
-3.907985046680551e-14,-1.3722356584366935e-13,-8.332802040970459e-14,1600.0,0,0,3,0,0,16384,0,8192,0,512,0,91.80858727846066,0.0,8192,0,16384,False,3,16,31dd4_00000,2025-05-08_17-43-19,1746722599,5.626709461212158,131.523743391037,48584,SUMO,10.0.2.15,131.523743391037,16,,8192,0,16384,0,-3.907985046680551e-14,-1.3722356584366935e-13,-8.332802040970459e-14,1600.0,0,0,"[-3.907985046680551e-14, -7.36806449186389e-14, -1.3722356584366935e-13]","[1600, 1600, 1600]",7846.558,6278.743,22.372,8192,0,16384,0,31.099999999999998,72.75714285714285,"[-3.907985046680551e-14, -7.36806449186389e-14, -1.3722356584366935e-13]","[1600, 1600, 1600]",64.0,1024.0,-0.05941569170390722,-0.05941569170390722,0.00021691643632948399,1.2183781117336423e-06,1.2183781117336423e-06,-0.8511837668716907,0.5963375482708215,0.00047997433776085784,2e-05,2e-05,0.1,0.0008789062849245965
-3.907985046680551e-14,-1.3722356584366935e-13,-8.332802040970459e-14,1600.0,0,0,3,0,0,17408,0,8704,0,512,0,88.77555310587823,0.0,8704,0,17408,False,3,17,31dd4_00000,2025-05-08_17-43-25,1746722605,5.809108018875122,137.3328514099121,48584,SUMO,10.0.2.15,137.3328514099121,17,,8704,0,17408,0,-3.907985046680551e-14,-1.3722356584366935e-13,-8.332802040970459e-14,1600.0,0,0,"[-3.907985046680551e-14, -7.36806449186389e-14, -1.3722356584366935e-13]","[1600, 1600, 1600]",7659.017,6103.481,25.058,8704,0,17408,0,37.46666666666667,72.81666666666668,"[-3.907985046680551e-14, -7.36806449186389e-14, -1.3722356584366935e-13]","[1600, 1600, 1600]",64.0,1024.0,-0.06080284205963835,-0.06080284205963835,-0.001220895757433027,6.584916383722827e-07,6.584916383722827e-07,-0.9686840519309043,0.59582635499537,0.0005985264385060419,2e-05,2e-05,0.1,0.0004394531424622983
-3.907985046680551e-14,-1.3722356584366935e-13,-8.332802040970459e-14,1600.0,0,0,3,0,0,18432,0,9216,0,512,0,134.37391247814725,0.0,9216,0,18432,False,3,18,31dd4_00000,2025-05-08_17-43-29,1746722609,3.818006753921509,141.15085816383362,48584,SUMO,10.0.2.15,141.15085816383362,18,,9216,0,18432,0,-3.907985046680551e-14,-1.3722356584366935e-13,-8.332802040970459e-14,1600.0,0,0,"[-3.907985046680551e-14, -7.36806449186389e-14, -1.3722356584366935e-13]","[1600, 1600, 1600]",7484.682,5940.135,24.717,9216,0,18432,0,23.875,72.825,"[-3.907985046680551e-14, -7.36806449186389e-14, -1.3722356584366935e-13]","[1600, 1600, 1600]",64.0,1024.0,-0.060253501579427396,-0.060253501579427396,-0.0004265899769961834,4.0636923559489446e-07,4.0636923559489446e-07,-1.0,0.5982763219624758,0.0014199778407373743,2e-05,2e-05,0.1,0.00021972657123114914
2.864201931185306e-13,-1.3722356584366935e-13,2.4988113430287246e-14,1600.0,3,0,3,0,0,19456,0,9728,0,512,0,41.31403542449162,0.0,9728,0,19456,False,6,19,31dd4_00000,2025-05-08_17-43-41,1746722621,12.40505862236023,153.55591678619385,48584,SUMO,10.0.2.15,153.55591678619385,19,,9728,0,19456,0,2.864201931185306e-13,-1.3722356584366935e-13,2.4988113430287246e-14,1600.0,3,0,"[-3.907985046680551e-14, -7.36806449186389e-14, -1.3722356584366935e-13, 6.39349684306012e-14, 2.864201931185306e-13, 4.9557580261705425e-14]","[1600, 1600, 1600, 1600, 1600, 1600]",8021.707,6480.598,24.935,9728,0,19456,0,31.441176470588236,72.75294117647059,"[-3.907985046680551e-14, -7.36806449186389e-14, -1.3722356584366935e-13, 6.39349684306012e-14, 2.864201931185306e-13, 4.9557580261705425e-14]","[1600, 1600, 1600, 1600, 1600, 1600]",64.0,1024.0,0.1426787179967505,0.1426787179967505,-0.009962182492017746,0.8757384385944021,2.3193952035189285,-0.5024779804050923,0.6629623956978321,0.011528534147035429,2e-05,2e-05,0.1,0.00021972657123114914
2.864201931185306e-13,-1.3722356584366935e-13,2.4988113430287246e-14,1600.0,0,0,3,0,0,20480,0,10240,0,512,0,30.43273522125525,0.0,10240,0,20480,False,6,20,31dd4_00000,2025-05-08_17-43-58,1746722638,16.830660820007324,170.38657760620117,48584,SUMO,10.0.2.15,170.38657760620117,20,,10240,0,20480,0,2.864201931185306e-13,-1.3722356584366935e-13,2.4988113430287246e-14,1600.0,0,0,"[-3.907985046680551e-14, -7.36806449186389e-14, -1.3722356584366935e-13, 6.39349684306012e-14, 2.864201931185306e-13, 4.9557580261705425e-14]","[1600, 1600, 1600, 1600, 1600, 1600]",7918.048,6380.703,25.101,10240,0,20480,0,34.79444444444445,72.63333333333331,"[-3.907985046680551e-14, -7.36806449186389e-14, -1.3722356584366935e-13, 6.39349684306012e-14, 2.864201931185306e-13, 4.9557580261705425e-14]","[1600, 1600, 1600, 1600, 1600, 1600]",64.0,1024.0,1.509807075560093,1.509807075560093,-0.022382990445476026,6.39463642835617,51.3424615085125,0.0698468428105116,0.6647540554404259,0.029018010399008885,2e-05,2e-05,0.1,0.0003295898495707661
