step,vehicle_id,speed,acceleration,distance_traveled,position_x,position_y,co2_emissions,noise_emissions,waiting_time,lane_id,emission_class,time_loss
1,1,0.0,0.0,0.0,873.9191304347827,483.8654658385093,2624.722222222222,55.94027641010837,0.0,-29890344#0_0,HBEFA3/PC_G_EU4,0.0
2,1,2.6,2.6,2.5999999999999996,875.1626086956522,486.15217391304344,4102.544888888889,68.38259227743012,0.0,-29890344#0_0,HBEFA3/PC_G_EU4,0.8234103535868075
3,1,4.056495678331703,1.4564956783317027,6.656495678331703,877.5528828089214,489.4269055672794,3767.653527915418,63.990499364344004,0.0,:393377011_14_0,HBEFA3/PC_G_EU4,1.3359093707323786
3,3,0.0,0.0,0.0,166.47172011661806,483.5078717201166,2624.722222222222,55.94027641010837,0.0,4015425#1_0,HBEFA3/PC_G_EU4,0.0
4,1,5.784038191474974,1.7275425131432716,12.440533869806677,882.7933343850418,491.21493289448813,4741.491919615926,65.94071105666703,0.0,:393377011_14_0,HBEFA3/PC_G_EU4,1.640796019996292
4,3,1.7893513403134422,1.7893513403134422,1.7893513403134422,164.81278797020502,482.836995386693,3252.284700610257,64.49858574876683,0.0,4015425#1_0,HBEFA3/PC_G_EU4,0.9313529837667512
4,4,0.0,0.0,0.0,1035.27,236.29,2624.722222222222,55.94027641010837,0.0,-8313578#5_0,HBEFA3/PC_G_EU4,0.0
5,1,7.225363472061232,1.4413252805862573,19.66589734186791,889.2600964184189,488.2435114671929,4811.65593000673,65.41977799189789,0.0,-144739170#1_0,HBEFA3/PC_G_EU4,2.150055873558565
5,3,3.7612359608989214,1.9718846205854792,5.550587301212364,161.32569457205383,481.42680604391865,4181.047541640791,66.1066470070865,0.0,4015425#1_0,HBEFA3/PC_G_EU4,1.7870562097080138
5,4,1.3555833633756265,1.3555833633756265,1.3555833633756267,1035.885780953363,237.4970460373887,2942.2631870789705,62.421571823983356,0.0,:8176631105_6_0,HBEFA3/PC_G_EU4,0.9396205937380128
5,5,0.0,0.0,0.0,179.36854076111064,370.8296194446908,2624.722222222222,55.94027641010837,0.0,-24428221#0_0,HBEFA3/PC_G_EU4,0.0
6,1,8.625033530550079,1.399670058488847,28.290930872417988,896.4351326675965,483.4611148671987,5236.415510876959,65.9610206224064,0.0,-144739170#1_0,HBEFA3/PC_G_EU4,2.564251403765577
6,3,5.29371661078697,1.5324806498880488,10.844303911999335,156.41781736438546,479.4420481542766,4272.509557322285,64.87794135521403,0.0,4015425#1_0,HBEFA3/PC_G_EU4,2.5839670555951857
6,4,3.481117353728041,2.125533990352414,4.836700717103668,1037.4670970278758,240.59672180874017,4196.908412824222,66.66091958017444,0.0,:8176631105_6_0,HBEFA3/PC_G_EU4,1.7845672015047258
6,5,1.5426099300617353,1.5426099300617353,1.5426099300617349,178.38506364167893,372.0182214009151,3063.543033466599,63.31700564800859,0.0,-24428221#0_0,HBEFA3/PC_G_EU4,0.897424004579269
7,1,10.669716699308717,2.044683168758638,38.96064757172671,905.3111102292874,477.5449851866662,7820.7464537653195,69.62468578429949,0.0,-144739170#1_0,HBEFA3/PC_G_EU4,2.8395739040502455
7,3,2.7456960880006642,-2.548020522786306,13.59,153.81487446390867,479.34615532282663,0.0,47.05005146178833,0.0,:265487808_17_0,HBEFA3/PC_G_EU4,2.782255978581623
7,4,5.24732873425819,1.766211380530149,10.084029451361857,1039.8506734302068,245.26938018013922,4575.857264609324,65.86234242631974,0.0,-8313578#4_0,HBEFA3/PC_G_EU4,2.5508445091230385
7,5,2.9450629329076037,1.4024530028458684,4.4876728629693385,176.50746519416654,374.28743249248214,3387.3212163199964,63.274511962165775,0.0,-24428221#0_0,HBEFA3/PC_G_EU4,1.701591762070882
7,7,0.0,0.0,0.0,1081.4073490962573,488.0609150503022,2624.722222222222,55.94027641010837,0.0,23406645#0_0,HBEFA3/PC_G_EU4,0.0
8,1,12.311098640415818,1.6413819411071007,51.271746212142524,915.5976889152979,470.78404763049446,7484.475271423602,68.8502429998561,0.0,:393383573_7_0,HBEFA3/PC_G_EU4,3.003415228716028
8,3,2.8062182136355713,0.06052212563490711,16.39621821363557,153.91866844876145,481.6913606648318,2366.704246465469,57.39233694860694,0.0,:265487808_17_0,HBEFA3/PC_G_EU4,2.9628731502267662
8,4,7.568783441744745,2.321454707486555,17.6528128931066,1043.2882738283458,252.01216970182213,6672.438053046399,69.30827824452196,0.0,-8313578#4_0,HBEFA3/PC_G_EU4,3.2137212729687485
8,5,4.987208833452314,2.0421459005447105,9.474881696421653,173.3279149514608,378.13014480751514,4827.666891936199,66.94115454782757,0.0,-24428221#0_0,HBEFA3/PC_G_EU4,2.369966831819097
8,7,2.0975293326890094,2.0975293326890094,2.0975293326890094,1079.4403391828039,488.7892574549511,3533.9415859111286,65.97475729139451,0.0,23406645#0_0,HBEFA3/PC_G_EU4,0.8534310092680613
8,8,0.0,0.0,0.0,191.01608365019013,356.7687452471483,2624.722222222222,55.94027641010837,0.0,-24428221#1_0,HBEFA3/PC_G_EU4,0.0
9,1,11.229944042184577,-1.0811545982312403,62.5016902543271,925.0768321665263,464.756626701931,0.0,60.36550412578041,0.0,-144739170#0_0,HBEFA3/PC_G_EU4,3.2406875950047533
9,3,3.0316458538417517,0.22542764020618034,19.427864067477323,156.61049788180114,482.9752516591183,2481.6585254450524,58.209236624029515,0.0,-4015425#1_0,HBEFA3/PC_G_EU4,3.846566510243094
9,4,10.031773000978864,2.4629895592341198,27.684585894085465,1047.8438777400354,260.94948506481956,8553.687624825028,71.06187845714388,0.0,-8313578#4_0,HBEFA3/PC_G_EU4,3.7668933508217743
9,5,6.552008579205721,1.5647997457534073,16.026890275627373,169.15074067143317,383.1785566339128,4784.096525540108,65.60860893871717,0.0,-24428221#0_0,HBEFA3/PC_G_EU4,2.9342903922214987
9,7,3.7116777541581545,1.614148421469145,5.809207086847165,1075.9596217386222,490.0780939248943,3812.983782236443,64.52510042297419,0.0,23406645#0_0,HBEFA3/PC_G_EU4,1.5940702204242998
9,8,2.2477417365880683,2.2477417365880683,2.2477417365880683,189.58197314296777,358.50027557350853,3689.7160101315458,66.69443710706484,0.0,-24428221#1_0,HBEFA3/PC_G_EU4,0.8052653922050365
