step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,2,0.0,0.0,2.7542528131239425,1,0.0,0.15217363816119797,1,0.0,0.2463814266512864,2,0.0
10.0,0,0.0,0.0,8.78003327590013,0,0.0,0.641138045982707,0,0.0,0.6301309074373456,0,0.0
15.0,3,0.0,0.0,8.437648672499318,1,0.0,0.608859284790796,2,0.0,0.5834049843677577,3,0.0
20.0,0,0.0,0.0,9.961255453051358,0,0.0,0.6781676402665439,0,0.0,0.6635815633113838,0,0.0
25.0,2,1.0,0.03225806451612903,9.636727758384376,1,0.0,0.6364067168389794,1,1.0,0.6801230788448113,2,1.0
30.0,5,15.0,0.375,8.881192901495961,1,4.0,0.5697432128877442,3,8.0,0.6027888985077247,4,12.0
35.0,4,9.0,0.2,8.585847077304006,4,10.0,0.5980904470065805,0,5.0,0.5363346684524797,4,15.0
40.0,9,34.0,0.6938775510204082,7.295618024498279,5,31.0,0.458135613770046,4,15.0,0.4680177414602381,9,46.0
45.0,4,6.0,0.12,6.6492965712705585,2,22.0,0.38089462341163394,2,15.0,0.5495808216059936,4,37.0
50.0,8,29.0,0.5576923076923077,7.2162035423265785,3,16.0,0.503801788503101,4,26.0,0.4033535509853905,7,42.0
55.0,10,55.0,1.0576923076923077,7.276916158593281,5,31.0,0.48272984289146204,4,42.0,0.38307783444068105,9,73.0
60.0,13,105.0,2.019230769230769,7.674325673491724,4,51.0,0.44833738340828566,8,59.0,0.3665554011245958,12,110.0
65.0,14,115.0,2.2549019607843137,6.8032799899356515,5,88.0,0.40130357479141027,9,97.0,0.19824555021533696,14,185.0
70.0,11,61.0,1.22,7.02095730375752,2,78.0,0.543389202000152,9,143.0,0.18361151056198968,11,221.0
75.0,15,86.0,1.7551020408163265,5.699233695092523,4,38.0,0.4426326906020914,11,191.0,0.21253814841208576,15,229.0
80.0,18,160.0,3.1372549019607843,5.678455166874706,4,36.0,0.47942373933347787,14,250.0,0.21458923079205192,18,286.0
85.0,14,98.0,1.849056603773585,5.40786405494585,3,15.0,0.4622209202628733,11,237.0,0.26468880790150995,14,252.0
90.0,16,90.0,1.6071428571428572,5.686843223509273,5,19.0,0.435708546823497,10,265.0,0.25522918334740186,15,284.0
95.0,15,81.0,1.396551724137931,5.655809195826699,1,14.0,0.5082312932278805,13,323.0,0.1986237384987747,14,337.0
100.0,11,72.0,1.2,5.749860396872516,0,6.0,0.540526328716299,10,365.0,0.1983685359788573,10,371.0
105.0,15,121.0,2.0166666666666666,5.950996787142772,1,7.0,0.5754792809742572,13,389.0,0.2296928500427722,14,396.0
110.0,20,208.0,3.5254237288135593,5.149878687520022,3,18.0,0.49482911919230055,16,458.0,0.13804297864927,19,476.0
115.0,30,335.0,5.583333333333333,4.352990500250229,5,37.0,0.45327853813748065,24,562.0,0.13407383847497675,29,599.0
120.0,29,296.0,4.698412698412699,3.8109512714357026,8,100.0,0.2817634750120472,21,655.0,0.16241383442703797,29,755.0
125.0,28,319.0,4.984375,4.749399925264764,8,140.0,0.32724993093039045,20,719.0,0.22026556045565135,28,859.0
130.0,26,248.0,3.8153846153846156,5.482841797902317,4,95.0,0.3686719954372664,22,806.0,0.21704580310538998,26,901.0
135.0,24,227.0,3.388059701492537,4.824714362804388,1,61.0,0.3862515793812532,23,908.0,0.1678618374104637,24,969.0
140.0,19,155.0,2.3846153846153846,4.313652568080419,2,63.0,0.3858217530038549,17,896.0,0.19012622400959808,19,959.0
145.0,27,127.0,1.7887323943661972,4.915423107840147,7,82.0,0.44254949776508284,19,968.0,0.160436000099499,26,1050.0
