step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,2,0.0,0.0,3.576126182281102,1,0.0,0.18201944787838287,1,0.0,0.33804330611187977,2,0.0
10.0,0,0.0,0.0,8.713442148647687,0,0.0,0.6239084224014265,0,0.0,0.6345694140330523,0,0.0
15.0,3,0.0,0.0,8.5354076627833,1,0.0,0.6309436223283924,2,0.0,0.5956561901462529,3,0.0
20.0,0,0.0,0.0,9.768369204331723,0,0.0,0.6467293235557288,0,0.0,0.6754196936573762,0,0.0
25.0,3,1.0,0.030303030303030304,9.19481767980472,2,1.0,0.5677484351711072,1,0.0,0.7090764303445366,3,1.0
30.0,3,8.0,0.2,9.248612276564819,0,0.0,0.5889330605216684,2,3.0,0.6198781520486302,2,3.0
35.0,6,27.0,0.5869565217391305,9.062928822476614,2,2.0,0.6211066421378663,3,15.0,0.5155341680808718,5,17.0
40.0,9,54.0,1.1020408163265305,7.53434866087405,1,1.0,0.5474215090750385,7,38.0,0.39207430546624034,8,39.0
45.0,12,76.0,1.6170212765957446,6.759415825934531,5,13.0,0.3986559216957002,6,55.0,0.44902324512643943,11,68.0
50.0,10,98.0,1.96,6.360974113430147,1,18.0,0.48762448985172024,7,69.0,0.38340225728187016,8,87.0
55.0,14,144.0,2.769230769230769,6.256993649907328,4,17.0,0.37847696680105397,9,110.0,0.4049108944794096,13,127.0
60.0,9,72.0,1.3846153846153846,6.05379859815527,2,50.0,0.35995918515851266,7,149.0,0.4184772247963215,9,199.0
65.0,10,49.0,0.9245283018867925,6.173418237077284,4,26.0,0.4356672551180991,6,174.0,0.2566172038688123,10,200.0
70.0,15,104.0,1.9622641509433962,6.378624327243705,5,41.0,0.5081082932808401,10,214.0,0.16662692541992424,15,255.0
75.0,13,49.0,0.9074074074074074,6.442544279193787,2,34.0,0.5053186679037365,10,192.0,0.1981099746413814,12,226.0
80.0,8,35.0,0.6862745098039216,6.411126754257871,0,9.0,0.6018971561336671,8,180.0,0.20362680848279072,8,189.0
85.0,7,16.0,0.2909090909090909,7.102770172570087,1,13.0,0.6114686694825416,6,194.0,0.3377222898927019,7,207.0
90.0,11,42.0,0.7368421052631579,6.556362531367587,4,20.0,0.37198027696994895,7,216.0,0.32467794615184825,11,236.0
95.0,11,40.0,0.6896551724137931,6.718108984591238,4,25.0,0.4390506257992961,7,206.0,0.3158827130887661,11,231.0
100.0,11,43.0,0.7413793103448276,5.971894014906591,1,23.0,0.5207365714849516,10,208.0,0.21430554715453162,11,231.0
105.0,11,38.0,0.6785714285714286,4.92456362850404,3,25.0,0.5126721786130934,7,235.0,0.19779351106685011,10,260.0
110.0,7,27.0,0.48214285714285715,4.955432786943488,1,11.0,0.5046010987366887,5,237.0,0.22601036178855752,6,248.0
115.0,15,83.0,1.360655737704918,5.467246683489522,4,21.0,0.4507836416032056,10,265.0,0.20734397399355117,14,286.0
120.0,20,101.0,1.4852941176470589,5.170403525845359,7,62.0,0.3445877801530629,13,273.0,0.18269548218532727,20,335.0
125.0,17,121.0,1.8059701492537314,5.322095354298283,7,97.0,0.3300272743737006,9,312.0,0.24422455910624868,16,409.0
130.0,17,88.0,1.353846153846154,5.735483973348859,3,70.0,0.4180540518744777,13,341.0,0.25605241520082916,16,411.0
135.0,17,93.0,1.4307692307692308,5.602273077682219,1,40.0,0.4408174609027066,15,405.0,0.23151288342146997,16,445.0
140.0,18,132.0,2.0,4.969795082105062,1,13.0,0.5777420638898042,15,461.0,0.17422967095780917,16,474.0
145.0,23,228.0,3.3043478260869565,5.089835741254983,1,14.0,0.5473124081548777,21,550.0,0.16511445203039155,22,564.0
150.0,28,274.0,3.971014492753623,4.783145340602322,3,27.0,0.5532653232156203,25,650.0,0.17717240565655432,28,677.0
155.0,21,227.0,3.289855072463768,4.339434415702557,2,51.0,0.4165593365308269,19,744.0,0.15696967389260352,21,795.0
160.0,23,238.0,3.352112676056338,4.477154925232353,2,63.0,0.30925241544938986,21,830.0,0.17876596857542632,23,893.0
165.0,22,179.0,2.324675324675325,4.843238172866631,3,64.0,0.3903895565956749,19,811.0,0.1893054280536689,22,875.0
170.0,25,163.0,2.0632911392405062,4.507041893704719,7,57.0,0.31843829344125996,17,894.0,0.19296862851819413,24,951.0
175.0,29,177.0,2.158536585365854,4.761116594786543,11,99.0,0.33769866638292795,17,966.0,0.21867620732999973,28,1065.0
180.0,27,162.0,1.8620689655172413,4.784423515327235,11,124.0,0.28733196927710575,15,1005.0,0.24233968922897434,26,1129.0
185.0,34,221.0,2.5697674418604652,4.588447229332601,13,180.0,0.22279260254626515,20,1069.0,0.23436847504637542,33,1249.0
190.0,33,301.0,3.3444444444444446,4.87525384916795,10,185.0,0.22138296569914614,22,1172.0,0.24415580596710457,32,1357.0
195.0,37,427.0,4.7444444444444445,4.517800960737643,8,188.0,0.27569335324576666,28,1283.0,0.1982605656618682,36,1471.0
200.0,40,594.0,6.75,3.8412581619910497,9,206.0,0.27878515713419244,30,1402.0,0.16718673674032392,39,1608.0
205.0,47,674.0,7.247311827956989,3.360348973323671,8,191.0,0.22331527476038565,38,1574.0,0.15410379111314704,46,1765.0
210.0,49,874.0,9.5,3.4000476532226873,6,125.0,0.27964411452922433,42,1768.0,0.09757085428216336,48,1893.0
215.0,50,1030.0,10.957446808510639,3.3282146941602626,9,128.0,0.2650678117410414,40,1948.0,0.07672074658969187,49,2076.0
220.0,40,940.0,9.894736842105264,3.638235854232754,7,196.0,0.21228991112218168,33,2092.0,0.12056427342272254,40,2288.0
225.0,41,884.0,9.505376344086022,2.788476457895581,7,148.0,0.17281991221708243,33,2118.0,0.12434659352135105,40,2266.0
230.0,38,654.0,6.957446808510638,3.240872147019154,6,159.0,0.28167916144165284,31,2274.0,0.08728615660875344,37,2433.0
235.0,42,638.0,6.444444444444445,3.409436536236614,7,202.0,0.30379088639572643,35,2326.0,0.07808025892610174,42,2528.0
240.0,35,441.0,4.41,3.7231964908975277,5,195.0,0.32845984280681345,30,2452.0,0.10761075888235096,35,2647.0
245.0,34,260.0,2.6262626262626263,3.1261659122715,8,202.0,0.1670574459375809,26,2538.0,0.13404623522903678,34,2740.0
250.0,35,260.0,2.6530612244897958,3.254139832097121,3,149.0,0.16864037480140606,32,2498.0,0.1433792680677196,35,2647.0
255.0,48,437.0,4.201923076923077,3.7756610390869323,4,120.0,0.2701507400994053,43,2566.0,0.09418461130465564,47,2686.0
260.0,49,433.0,4.163461538461538,3.875350365383885,3,94.0,0.2819440743887911,45,2747.0,0.09323906619516503,48,2841.0
265.0,43,442.0,4.4646464646464645,3.534176953536599,5,113.0,0.3009993690249579,37,2890.0,0.1136787381465121,42,3003.0
270.0,39,405.0,4.05,3.553745257953359,4,114.0,0.27930512111500777,34,3027.0,0.14211273430709942,38,3141.0
275.0,41,437.0,4.414141414141414,3.5370043661977983,4,114.0,0.27329220493413764,37,3189.0,0.1294456736348108,41,3303.0
280.0,48,506.0,5.216494845360825,3.839744169837535,7,153.0,0.31543660287076,41,3370.0,0.12281808204817522,48,3523.0
285.0,45,624.0,6.303030303030303,3.5771269791832476,6,124.0,0.2544785097651928,38,3527.0,0.1092892590253876,44,3651.0
290.0,47,794.0,8.185567010309278,3.403474880645144,5,127.0,0.26053842672353966,41,3730.0,0.1292110100121433,46,3857.0
295.0,50,1009.0,10.402061855670103,2.769749196735437,3,141.0,0.2138116253149873,46,3951.0,0.11761973547988942,49,4092.0
300.0,59,1263.0,12.504950495049505,2.6793721756767894,7,176.0,0.22641445227913418,51,4199.0,0.08693365221190257,58,4375.0
305.0,50,1105.0,10.728155339805825,3.1737840735611624,5,176.0,0.337274286826154,44,4399.0,0.10204761203595328,49,4575.0
310.0,46,1038.0,9.522935779816514,3.591870695165091,8,178.0,0.2715598043762835,37,4546.0,0.13125519746263994,45,4724.0
315.0,55,1206.0,10.963636363636363,2.8662413114175065,9,187.0,0.25913739120896634,45,4733.0,0.08808414877015974,54,4920.0
320.0,66,1199.0,10.705357142857142,2.2647000869652305,13,238.0,0.18295037520664795,51,4896.0,0.049619379137233154,64,5134.0
325.0,68,1050.0,9.210526315789474,1.9507545128460273,16,310.0,0.1529401261777749,51,5156.0,0.037886294406522525,67,5466.0
330.0,62,620.0,5.299145299145299,2.3866170379648546,9,358.0,0.19123642424795767,53,5233.0,0.05707835510000953,62,5591.0
335.0,58,426.0,3.736842105263158,2.9557728733869255,9,318.0,0.2469746058507473,47,5423.0,0.09074489298661947,56,5741.0
340.0,60,507.0,4.486725663716814,3.1363913412045705,16,362.0,0.16788088536962567,42,5548.0,0.09869305620173233,58,5910.0
345.0,65,571.0,4.965217391304348,2.985125789615042,21,414.0,0.1140251569387063,42,5734.0,0.09509088347702917,63,6148.0
350.0,72,757.0,6.415254237288136,2.5100206931929057,23,470.0,0.08211335048406274,48,5950.0,0.10288896571488848,71,6420.0
355.0,58,757.0,6.699115044247788,2.241256094653309,20,518.0,0.11543497465134746,38,5983.0,0.12525223408634603,58,6501.0
360.0,50,630.0,5.575221238938053,2.614076834853207,12,491.0,0.18693536521234858,38,6114.0,0.10884009977700389,50,6605.0
365.0,48,688.0,6.088495575221239,3.677466247220625,8,453.0,0.24952300566001973,40,6276.0,0.10901824871657972,48,6729.0
370.0,56,897.0,7.938053097345133,3.567788660318665,9,439.0,0.17121579159437134,47,6477.0,0.09279541940431281,56,6916.0
375.0,51,858.0,7.72972972972973,3.6968155303085313,13,393.0,0.16276599512640666,38,6483.0,0.11297038271004241,51,6876.0
380.0,50,921.0,8.527777777777779,3.4307213480765624,11,413.0,0.23866643596400897,38,6655.0,0.08549810467808239,49,7068.0
385.0,47,782.0,7.447619047619048,3.1331679093307,10,430.0,0.2378554969546711,37,6627.0,0.11974308410543875,47,7057.0
390.0,63,942.0,8.971428571428572,2.095272516984203,17,509.0,0.19738042681110396,45,6832.0,0.07749021190844063,62,7341.0
395.0,67,1123.0,10.495327102803738,1.866058867702143,22,567.0,0.19182748928661958,44,7043.0,0.07494219789599917,66,7610.0
400.0,68,1349.0,12.49074074074074,2.3754358987529036,22,668.0,0.20567027220875306,45,7216.0,0.08889024624766448,67,7884.0
405.0,65,1370.0,11.91304347826087,2.2793624996613437,29,757.0,0.11990745230632602,35,7379.0,0.12218289096783834,64,8136.0
410.0,72,1369.0,11.504201680672269,2.329587120785633,29,840.0,0.14699185253546102,42,7576.0,0.08266200684899927,71,8416.0
415.0,69,1433.0,12.042016806722689,1.6289128141405764,35,967.0,0.11929869270687568,33,7742.0,0.07498645426889762,68,8709.0
420.0,69,866.0,7.216666666666667,1.8246451663666783,36,997.0,0.08366885336945015,33,7865.0,0.10945025106496893,69,8862.0
425.0,68,736.0,5.935483870967742,2.4344852353682045,31,897.0,0.10520711799387733,37,8018.0,0.08817916066375092,68,8915.0
430.0,67,593.0,4.669291338582677,2.8032727845070076,24,927.0,0.13458248429522,43,7854.0,0.06823318442552824,67,8781.0
435.0,67,538.0,4.26984126984127,2.2159245112861052,28,1052.0,0.07290422685794003,38,7840.0,0.07112436620403827,66,8892.0
440.0,87,690.0,5.476190476190476,1.5583175958142157,34,1206.0,0.057207757608308575,53,7865.0,0.051300595957286185,87,9071.0
445.0,93,1020.0,8.031496062992126,1.3926370999150908,38,1390.0,0.08324522498444245,55,8130.0,0.06593411110044943,93,9520.0
450.0,80,974.0,7.609375,1.7029270855627971,31,1415.0,0.1319498315372785,49,8337.0,0.08947923861707269,80,9752.0
455.0,63,674.0,5.349206349206349,2.5351019710069504,24,1300.0,0.1525898123115327,39,8441.0,0.10884462078050994,63,9741.0
460.0,64,729.0,5.74015748031496,3.2407335600662557,27,1235.0,0.14015168344808196,37,8542.0,0.10759471125894618,64,9777.0
465.0,71,818.0,6.292307692307692,3.305700042298526,37,1378.0,0.11389375195263586,34,8398.0,0.13840448170334008,71,9776.0
470.0,72,893.0,6.922480620155039,2.8738252248380425,37,1369.0,0.11068424287869166,34,8550.0,0.10429469185341728,71,9919.0
475.0,72,879.0,6.921259842519685,2.565917947991561,36,1484.0,0.1518665056428565,35,8714.0,0.10886336149086906,71,10198.0
480.0,84,1170.0,9.069767441860465,2.3777593442761713,42,1495.0,0.09555524976612272,41,8665.0,0.11098455231435607,83,10160.0
485.0,86,1167.0,8.840909090909092,2.5253519590942957,47,1706.0,0.08754340327848542,38,8835.0,0.13521080993523363,85,10541.0
490.0,87,1274.0,9.437037037037037,2.36830563565049,42,1865.0,0.12146200984151825,45,9041.0,0.09842364895193749,87,10906.0
495.0,84,1033.0,7.4855072463768115,1.8084439401669035,38,1938.0,0.08040575878470071,45,9207.0,0.08580358977900732,83,11145.0
