step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,2,0.0,0.0,2.913227034988813,1,0.0,0.13860594368713428,1,0.0,0.24044723986027142,2,0.0
10.0,0,0.0,0.0,8.419983373658916,0,0.0,0.5541065055627159,0,0.0,0.6081676003394867,0,0.0
15.0,3,0.0,0.0,8.568915764326466,1,0.0,0.6042698411608662,2,0.0,0.6116657234064313,3,0.0
20.0,0,0.0,0.0,9.56297463005999,0,0.0,0.7094033577628518,0,0.0,0.6640073159078954,0,0.0
25.0,1,0.0,0.0,9.055596450603051,1,0.0,0.5713091046832743,0,0.0,0.7075641585558105,1,0.0
30.0,4,9.0,0.225,8.57529778812718,1,0.0,0.6182660836008037,2,5.0,0.5662402317237638,3,5.0
35.0,5,17.0,0.3695652173913043,8.800308830618773,2,1.0,0.6721466930859284,2,9.0,0.4832695280456071,4,10.0
40.0,6,43.0,0.8775510204081632,7.9896623862774545,2,8.0,0.5091063984252937,3,21.0,0.53388990995177,5,29.0
45.0,14,93.0,1.8235294117647058,6.884428064695468,8,35.0,0.4088251387454808,5,39.0,0.5379073926019612,13,74.0
50.0,16,163.0,3.0185185185185186,6.064083283278792,8,75.0,0.359186597385909,7,64.0,0.4042660559139437,15,139.0
55.0,20,249.0,4.527272727272727,5.577605499470841,12,126.0,0.28667718728922637,7,95.0,0.3876435583414127,19,221.0
60.0,17,173.0,3.1454545454545455,5.1627061099813725,7,117.0,0.25412740727149524,10,135.0,0.3537589721270431,17,252.0
65.0,10,52.0,0.9285714285714286,5.532195649135933,1,76.0,0.4549749781696976,9,174.0,0.13723634247700184,10,250.0
70.0,10,22.0,0.3728813559322034,7.132430877315621,2,39.0,0.5950761455167092,7,173.0,0.2224534355001778,9,212.0
