step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,2,0.0,0.0,2.540273798524868,1,0.0,0.12852932014060411,1,0.0,0.2156166522557724,2,0.0
10.0,0,0.0,0.0,8.732761188238554,0,0.0,0.5858831707914688,0,0.0,0.6198048080778616,0,0.0
15.0,4,2.0,0.1,8.389529366771274,2,2.0,0.571321097627361,2,0.0,0.614381796023438,4,2.0
20.0,2,2.0,0.07692307692307693,9.034507976043995,0,0.0,0.6872165325814248,2,2.0,0.6450806815064725,2,2.0
25.0,6,15.0,0.46875,8.40718661559314,2,1.0,0.5785147991668306,4,14.0,0.5474041145994388,6,15.0
30.0,1,0.0,0.0,8.698621499152674,0,0.0,0.6264917118417044,1,1.0,0.6396229252563855,1,1.0
35.0,4,10.0,0.22727272727272727,8.853745986363316,1,3.0,0.6569801242211845,2,5.0,0.45666341443197034,3,8.0
40.0,6,34.0,0.7083333333333334,8.239475958014483,2,12.0,0.5310118721725781,3,17.0,0.5369446231292055,5,29.0
45.0,13,82.0,1.607843137254902,6.970473219251744,7,34.0,0.3686249905960912,5,36.0,0.46743297868623274,12,70.0
50.0,9,79.0,1.5490196078431373,6.462573025122031,2,24.0,0.4563910063893952,6,59.0,0.4016469321032681,8,83.0
55.0,14,134.0,2.68,7.399621496140891,4,16.0,0.5072583651593894,9,98.0,0.39194766529512326,13,114.0
60.0,9,69.0,1.3529411764705883,7.051186039564625,3,55.0,0.4669825266061323,6,127.0,0.3061818036409032,9,182.0
65.0,12,68.0,1.36,7.120796986855223,4,44.0,0.4581038736964588,8,152.0,0.17743980857483266,12,196.0
70.0,7,19.0,0.38,6.844694662672164,1,31.0,0.5015464362885412,5,142.0,0.20537384162865235,6,173.0
75.0,12,26.0,0.5,6.751247097338352,5,9.0,0.4837588893807163,7,138.0,0.27314893413858193,12,147.0
80.0,9,32.0,0.6037735849056604,5.690370790656283,2,15.0,0.5041358757631561,7,114.0,0.20133213092215216,9,129.0
85.0,12,80.0,1.509433962264151,6.626246669698523,4,22.0,0.5615959052352995,8,110.0,0.305933085095155,12,132.0
90.0,13,68.0,1.1724137931034482,5.705607385632771,7,44.0,0.3951813530110546,6,118.0,0.3341591990001887,13,162.0
95.0,15,94.0,1.540983606557377,6.304405994159154,9,79.0,0.35066314297410284,6,95.0,0.3167933173024435,15,174.0
100.0,16,164.0,2.6031746031746033,6.687735244490901,9,122.0,0.3527126374601123,7,96.0,0.31048185647835896,16,218.0
105.0,15,118.0,1.9344262295081966,6.282493564181536,3,92.0,0.4114667156753303,11,137.0,0.26179686327366963,14,229.0
110.0,14,150.0,2.5,6.747984548967682,2,61.0,0.42047829348771626,12,200.0,0.2502932383686382,14,261.0
115.0,18,218.0,3.694915254237288,6.274986095759421,2,59.0,0.42627322211439617,16,269.0,0.2815896585588031,18,328.0
120.0,19,218.0,3.694915254237288,5.267019969950525,5,75.0,0.2594193632221613,14,291.0,0.2433531926746827,19,366.0
125.0,21,171.0,2.80327868852459,5.224356280734168,5,68.0,0.3310716806083823,15,364.0,0.22744184948502877,20,432.0
130.0,20,154.0,2.610169491525424,5.0710249431974495,1,36.0,0.4233919309958673,18,449.0,0.23241999206385747,19,485.0
135.0,21,161.0,2.639344262295082,4.151357323419742,1,20.0,0.4611455916009083,19,532.0,0.19129794331264732,20,552.0
140.0,23,158.0,2.46875,3.8868991780092115,4,31.0,0.4590757869134608,18,579.0,0.1610598979662026,22,610.0
145.0,22,138.0,2.090909090909091,4.69437163442711,5,53.0,0.4653901645106066,17,598.0,0.17639128340872678,22,651.0
150.0,20,122.0,1.7681159420289856,4.334304206897919,5,79.0,0.3287990667316734,15,604.0,0.17689515579558465,20,683.0
155.0,21,100.0,1.36986301369863,4.06313406653915,4,92.0,0.23587114826349626,16,668.0,0.16837919469004684,20,760.0
160.0,20,108.0,1.4025974025974026,4.419366021994089,5,84.0,0.2741306115365017,14,716.0,0.18603925800246793,19,800.0
165.0,21,132.0,1.6708860759493671,4.520708293226457,11,128.0,0.23960548217948383,9,731.0,0.2189129054035083,20,859.0
170.0,23,162.0,1.9518072289156627,4.763475971454915,9,132.0,0.23544956352062527,13,754.0,0.23813065251294227,22,886.0
175.0,25,215.0,2.5,4.664804219259872,8,134.0,0.27086885614557954,16,822.0,0.19122948240527618,24,956.0
180.0,32,234.0,2.689655172413793,4.343401082260822,9,140.0,0.2596945650470526,23,851.0,0.22033700972441927,32,991.0
185.0,29,226.0,2.5681818181818183,3.2732997688468077,3,174.0,0.232004892656974,25,959.0,0.16241532211732218,28,1133.0
190.0,30,204.0,2.3181818181818183,3.459236318890866,6,180.0,0.2750288305229256,23,1052.0,0.15449030403649353,29,1232.0
195.0,31,235.0,2.611111111111111,4.7026509527670015,10,195.0,0.2596424872392297,20,1103.0,0.2183115723097418,30,1298.0
200.0,32,320.0,3.4782608695652173,5.5022705437837605,13,256.0,0.22501085010037497,18,1155.0,0.283790562486826,31,1411.0
205.0,32,324.0,3.5217391304347827,4.930419815082226,11,252.0,0.21572238647570782,20,1232.0,0.20460970421466848,31,1484.0
210.0,35,383.0,4.5058823529411764,3.952677784819949,12,269.0,0.142027376034367,22,1316.0,0.15872305191058397,34,1585.0
215.0,45,503.0,5.848837209302325,3.3698103311686154,14,271.0,0.14357593993245585,30,1451.0,0.11381387233432554,44,1722.0
220.0,46,652.0,7.494252873563219,2.9886381606263788,13,305.0,0.18438168011740588,32,1596.0,0.15348611144354354,45,1901.0
225.0,39,673.0,7.561797752808989,2.9379031759875223,6,316.0,0.1678638318400622,32,1738.0,0.1817069348045926,38,2054.0
230.0,34,608.0,6.608695652173913,3.230073610219781,7,378.0,0.25716947376486177,26,1763.0,0.15868083012610656,33,2141.0
