step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,2,0.0,0.0,2.9701113959580354,1,0.0,0.13635183488045663,1,0.0,0.2855087864592298,2,0.0
10.0,0,0.0,0.0,8.280357062538556,0,0.0,0.6425000724994717,0,0.0,0.581103890809938,0,0.0
15.0,3,0.0,0.0,8.209520740260206,1,0.0,0.6358860997913459,2,0.0,0.5836416248798755,3,0.0
20.0,0,0.0,0.0,10.469988166875842,0,0.0,0.7056909053879497,0,0.0,0.7786042545709608,0,0.0
25.0,2,0.0,0.0,9.526462622982152,1,0.0,0.6818791138193117,1,0.0,0.6017955773452391,2,0.0
30.0,6,14.0,0.35,8.683913947430067,2,3.0,0.6367997133246264,4,11.0,0.5225865040520074,6,14.0
35.0,10,43.0,1.0,7.617297213729228,3,4.0,0.6530039706865699,7,39.0,0.40428162129403994,10,43.0
40.0,11,93.0,2.066666666666667,7.388036830223872,3,15.0,0.4840533533157003,8,78.0,0.4365580057083748,11,93.0
45.0,19,163.0,3.196078431372549,5.717467180803061,7,38.0,0.34678876157420135,12,125.0,0.2917277860930255,19,163.0
50.0,14,104.0,1.9622641509433962,5.696167409202431,8,75.0,0.392525176926265,6,78.0,0.32397865291231775,14,153.0
55.0,17,131.0,2.381818181818182,5.333715989402512,11,118.0,0.2686246349193195,5,82.0,0.3200219117277606,16,200.0
60.0,19,192.0,3.2,5.206193933084353,15,181.0,0.249969362327643,4,95.0,0.31723071997851926,19,276.0
65.0,20,266.0,4.508474576271187,5.289109225856394,16,267.0,0.2770125425236596,4,111.0,0.1640395125404744,20,378.0
70.0,22,178.0,3.016949152542373,5.142280002201514,11,241.0,0.30741201867213647,10,148.0,0.1085016986489555,21,389.0
75.0,12,50.0,0.8064516129032258,5.192144842389943,4,200.0,0.25952136491659394,7,136.0,0.16016045206382756,11,336.0
80.0,7,22.0,0.36065573770491804,5.477364401330011,2,179.0,0.3278536439737779,5,133.0,0.29250243152195793,7,312.0
85.0,7,22.0,0.3728813559322034,5.747367220118838,5,172.0,0.33848876184161614,2,141.0,0.3454494506177152,7,313.0
90.0,11,30.0,0.47619047619047616,5.608343691690989,6,128.0,0.3083922526275493,4,152.0,0.3310948818802528,10,280.0
95.0,15,65.0,1.0317460317460319,5.286385347708834,7,144.0,0.28467969104660085,7,179.0,0.3340156474872653,14,323.0
100.0,15,112.0,1.7777777777777777,5.36192774727946,5,92.0,0.33667257804715967,10,231.0,0.2802499086188763,15,323.0
105.0,10,82.0,1.28125,5.536669672136399,0,81.0,0.428363402051041,10,240.0,0.29876849672595013,10,321.0
110.0,16,73.0,1.1587301587301588,4.680964027790313,3,72.0,0.3816380097871049,12,282.0,0.18076174892486951,15,354.0
115.0,20,104.0,1.625,4.511178692036083,7,97.0,0.2598167499813593,13,346.0,0.18808701743542422,20,443.0
120.0,21,115.0,1.7424242424242424,4.062631577317596,11,152.0,0.22476416806902064,10,391.0,0.1867571567832231,21,543.0
125.0,21,182.0,2.716417910447761,4.590188837389161,12,210.0,0.2417262431717687,9,427.0,0.21911733188028354,21,637.0
130.0,23,201.0,3.0454545454545454,4.426052356280322,9,188.0,0.2123336519876641,14,469.0,0.2208414275961166,23,657.0
135.0,20,137.0,1.9027777777777777,4.798787608024286,6,166.0,0.31022950642194774,13,451.0,0.20112532360583313,19,617.0
140.0,17,79.0,1.0972222222222223,5.211759851271489,1,127.0,0.4832096855659242,15,513.0,0.18420694497812906,16,640.0
145.0,15,66.0,0.88,5.011116161005005,2,128.0,0.43799001787399083,13,582.0,0.1976615580296774,15,710.0
150.0,18,65.0,0.8783783783783784,4.6220766294884585,4,147.0,0.4245701060669631,14,632.0,0.16155946662484127,18,779.0
155.0,17,74.0,0.9736842105263158,4.496215697114049,9,168.0,0.22313447767093456,8,610.0,0.1855165486692136,17,778.0
160.0,16,63.0,0.7875,4.734531078767988,6,165.0,0.24760053782674019,9,635.0,0.1809858574440512,15,800.0
165.0,24,97.0,1.1829268292682926,4.557620968221529,6,166.0,0.283456872945012,17,697.0,0.1866299210050477,23,863.0
170.0,25,112.0,1.3333333333333333,3.687132666052964,6,186.0,0.23943104206759058,18,769.0,0.17080804469971392,24,955.0
175.0,25,154.0,1.811764705882353,4.4286893405772485,5,211.0,0.23682231536918583,19,810.0,0.24867162687305613,24,1021.0
180.0,25,218.0,2.422222222222222,4.638511399203343,5,199.0,0.24545970162541217,18,861.0,0.2342398585257822,23,1060.0
185.0,36,345.0,3.6702127659574466,3.981171783365231,9,229.0,0.21287874309612226,25,969.0,0.18950520346767516,34,1198.0
190.0,43,481.0,5.010416666666667,3.5738000704968838,4,236.0,0.23572891781939623,38,1138.0,0.16358552678495528,42,1374.0
195.0,51,701.0,7.457446808510638,3.1610160968200876,6,254.0,0.2039946340409424,44,1338.0,0.12840789799208105,50,1592.0
200.0,45,831.0,8.74736842105263,3.2785507055947956,5,227.0,0.22453432781602128,39,1511.0,0.12665188250071352,44,1738.0
205.0,44,956.0,9.855670103092784,3.519346792220539,6,176.0,0.1795828070462111,37,1620.0,0.14784572664749465,43,1796.0
210.0,42,982.0,10.229166666666666,3.6906755002547604,5,193.0,0.18648186543248207,37,1759.0,0.15874360209324093,42,1952.0
215.0,42,925.0,9.536082474226804,3.864388282080462,4,269.0,0.21325411512401446,38,1920.0,0.1087521586324988,42,2189.0
220.0,47,953.0,10.031578947368422,3.6292470200462232,8,248.0,0.20950483129466196,39,2110.0,0.11297481865764464,47,2358.0
225.0,44,883.0,8.83,4.07736492777509,7,247.0,0.218011657332521,37,2281.0,0.1329540389554245,44,2528.0
230.0,48,901.0,9.1010101010101,3.5212356950768626,13,226.0,0.2600380882867759,35,2448.0,0.10095641052059896,48,2674.0
235.0,52,974.0,9.938775510204081,3.2224400165512996,12,279.0,0.26690136043697155,40,2644.0,0.10668274257020213,52,2923.0
240.0,55,1028.0,10.28,3.1188932911819403,14,344.0,0.20490390126300406,41,2636.0,0.11131849653785339,55,2980.0
245.0,59,1242.0,12.297029702970297,2.9689909394599754,14,412.0,0.14182321403684367,44,2822.0,0.1012398932337237,58,3234.0
250.0,60,1461.0,14.184466019417476,2.906850102816854,16,445.0,0.11891720183019878,43,3031.0,0.134773138867908,59,3476.0
255.0,58,1644.0,15.807692307692308,3.2271248338704286,11,490.0,0.1710192840935399,46,3243.0,0.1483293179841242,57,3733.0
260.0,57,1866.0,18.294117647058822,3.3706057985997235,13,548.0,0.16084123009555615,43,3454.0,0.11815434977239629,56,4002.0
265.0,66,2143.0,20.02803738317757,3.14801544210614,15,623.0,0.21259371604350596,50,3688.0,0.08335905329627742,65,4311.0
270.0,73,2445.0,22.431192660550458,2.6057219781951417,16,699.0,0.18961647348492372,56,3944.0,0.07537166985247402,72,4643.0
275.0,71,2494.0,23.30841121495327,2.089499673742438,17,781.0,0.17157962019374043,54,4121.0,0.07628204794111842,71,4902.0
280.0,65,1954.0,17.763636363636362,2.386634213711681,17,842.0,0.23080581136731615,46,4335.0,0.09130089657946203,63,5177.0
285.0,60,1787.0,15.955357142857142,3.110959317113593,15,861.0,0.22083196326742208,44,4496.0,0.11735814523745894,59,5357.0
290.0,63,1697.0,15.151785714285714,3.174357420992466,16,899.0,0.18965797812173874,46,4700.0,0.1274496222179454,62,5599.0
295.0,61,1662.0,14.70796460176991,3.2044778392548805,15,973.0,0.15620659657939204,45,4806.0,0.09745870079530702,60,5779.0
300.0,65,1693.0,15.116071428571429,3.1162894261748115,15,1052.0,0.1764878480036176,49,5040.0,0.09830624441483153,64,6092.0
305.0,63,1798.0,15.634782608695652,3.1148197371557114,16,1128.0,0.22551744471618404,46,5267.0,0.0850823236274688,62,6395.0
