step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,2,0.0,0.0,2.870995507323339,1,0.0,0.13986020452822806,1,0.0,0.25730984803707346,2,0.0
10.0,0,0.0,0.0,8.26872000721334,0,0.0,0.6032151978820999,0,0.0,0.601666549229091,0,0.0
15.0,4,1.0,0.05,7.927951866009918,2,1.0,0.5627369453520742,2,0.0,0.6156402393185831,4,1.0
20.0,3,8.0,0.3076923076923077,8.424104179757803,2,7.0,0.5631461560081659,1,1.0,0.7252974221160949,3,8.0
25.0,7,27.0,0.84375,7.376594053089159,4,19.0,0.48806782657833964,3,8.0,0.5767974274372103,7,27.0
30.0,11,61.0,1.4878048780487805,6.91980621798503,5,38.0,0.4900797508368087,6,23.0,0.43726430660303117,11,61.0
35.0,7,61.0,1.2708333333333333,7.065750371428234,6,60.0,0.5095311924491263,1,10.0,0.4526922380535294,7,70.0
40.0,5,15.0,0.29411764705882354,7.287583024175097,0,18.0,0.4493633499348019,4,15.0,0.5047554946134559,4,33.0
45.0,9,39.0,0.7090909090909091,7.943754472119863,3,6.0,0.5409697145722763,5,30.0,0.4404919993193781,8,36.0
50.0,13,69.0,1.2105263157894737,7.6993519608304,2,7.0,0.5591529841499097,9,57.0,0.39320241489763796,11,64.0
55.0,14,124.0,2.4313725490196076,7.029454244706735,4,13.0,0.37739151350992944,9,98.0,0.3906518959540618,13,111.0
60.0,14,95.0,1.8269230769230769,5.676259682401268,8,36.0,0.21532934777857748,6,103.0,0.36638282823577906,14,139.0
65.0,15,102.0,2.0,5.210500740051385,9,100.0,0.3069372406727129,5,127.0,0.23815702498547875,14,227.0
70.0,21,163.0,2.963636363636364,4.363769114170056,13,152.0,0.322785391394291,8,137.0,0.13376736789888108,21,289.0
75.0,20,209.0,3.542372881355932,3.8058477145929985,13,221.0,0.3040422323096204,7,157.0,0.14342905149782742,20,378.0
80.0,23,292.0,4.634920634920635,4.288791122875707,18,302.0,0.2503229495281217,5,150.0,0.22104929824455682,23,452.0
