step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,2,0.0,0.0,3.095574068538068,1,0.0,0.12742491736691436,1,0.0,0.2980099137254139,2,0.0
10.0,0,0.0,0.0,8.599764500613848,0,0.0,0.5958244407721198,0,0.0,0.618749225373171,0,0.0
15.0,3,0.0,0.0,8.663028812181606,1,0.0,0.6446523003140487,2,0.0,0.6079312591575347,3,0.0
20.0,0,0.0,0.0,10.345633869090555,0,0.0,0.6756105887966923,0,0.0,0.7443382704026594,0,0.0
25.0,3,2.0,0.0625,9.385829495877339,2,1.0,0.6060376021594452,1,1.0,0.6301127608664989,3,2.0
30.0,6,12.0,0.3076923076923077,8.192726071475063,3,8.0,0.5548013102658461,3,4.0,0.5115753786180329,6,12.0
35.0,7,25.0,0.5952380952380952,6.958290210389391,1,1.0,0.5904040761546199,5,24.0,0.3765809879001157,6,25.0
40.0,13,71.0,1.5106382978723405,7.005958318080979,4,9.0,0.5086638941705748,8,56.0,0.4127103801224189,12,65.0
45.0,11,101.0,1.9803921568627452,6.536637186855658,2,11.0,0.4624871963930098,9,104.0,0.40378275224179155,11,115.0
50.0,18,178.0,3.2962962962962963,6.710269630733517,5,26.0,0.5180020030591845,13,162.0,0.3104423694286032,18,188.0
55.0,11,41.0,0.803921568627451,6.078438420133096,3,23.0,0.4261420365249628,7,117.0,0.3467610900536199,10,140.0
60.0,9,24.0,0.42857142857142855,6.73714092249998,3,23.0,0.34227217153069156,5,93.0,0.41814651183605506,8,116.0
65.0,13,43.0,0.7818181818181819,6.7385608759716895,3,20.0,0.44470357733070953,9,103.0,0.3771894517659156,12,123.0
70.0,14,59.0,1.0925925925925926,7.097713689985351,4,29.0,0.5714665214682372,10,142.0,0.20245060203618037,14,171.0
75.0,17,91.0,1.6545454545454545,6.31644265056682,6,59.0,0.4318341968299336,11,191.0,0.18913032666833068,17,250.0
80.0,13,35.0,0.6140350877192983,6.268091681937219,5,48.0,0.45102938066608506,7,173.0,0.24153662211429935,12,221.0
85.0,8,27.0,0.5,6.412248961955088,3,30.0,0.5065799525163632,5,150.0,0.3261385162051013,8,180.0
90.0,7,23.0,0.40350877192982454,5.352624272107849,2,25.0,0.43001121495936473,5,142.0,0.29428076371078193,7,167.0
95.0,14,73.0,1.280701754385965,5.3602432462170375,6,40.0,0.4305967365314239,7,169.0,0.2514192501183749,13,209.0
100.0,19,121.0,1.9836065573770492,5.0233158520811285,4,37.0,0.4463321528466623,14,222.0,0.2093167596478231,18,259.0
