step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,2,0.0,0.0,2.417617665254511,1,0.0,0.11338030532330778,1,0.0,0.21308374318352005,2,0.0
10.0,0,0.0,0.0,8.12071219993976,0,0.0,0.5578874517812311,0,0.0,0.5946307805733368,0,0.0
15.0,3,0.0,0.0,8.23312791318071,1,0.0,0.6226603880578445,2,0.0,0.5845668155028481,3,0.0
20.0,0,0.0,0.0,9.30290470308287,0,0.0,0.7032010601504061,0,0.0,0.6345492088128495,0,0.0
25.0,4,9.0,0.28125,8.857060492464285,1,0.0,0.626158653067474,3,9.0,0.577509926672852,4,9.0
30.0,2,0.0,0.0,8.348631116676827,1,0.0,0.6002392286234046,1,1.0,0.5689186604021182,2,1.0
35.0,5,11.0,0.25,8.783634402811552,2,2.0,0.6636322069398021,2,7.0,0.4698551645634402,4,9.0
40.0,5,23.0,0.4791666666666667,7.74324010437032,0,0.0,0.5449262104633904,4,18.0,0.47378368855183683,4,18.0
45.0,11,64.0,1.2549019607843137,8.361420149930572,4,12.0,0.5285162756317877,6,40.0,0.5164814780643369,10,52.0
50.0,11,94.0,2.0,7.463907666059845,1,12.0,0.569729547910633,8,74.0,0.4024978285933647,9,86.0
55.0,10,76.0,1.6170212765957446,7.316332206184125,1,6.0,0.5706668558725126,9,120.0,0.3859610605447154,10,126.0
60.0,9,54.0,1.173913043478261,6.046897070077314,2,31.0,0.4105171750870006,7,154.0,0.37773805138477007,9,185.0
65.0,7,26.0,0.5531914893617021,6.228547127831361,3,23.0,0.48569833248065514,4,129.0,0.23205952702454574,7,152.0
70.0,8,42.0,0.84,7.125641178012152,4,38.0,0.5197591801505618,4,102.0,0.21420035527887488,8,140.0
75.0,10,76.0,1.4074074074074074,7.025506899130799,5,59.0,0.4759509623727413,5,81.0,0.21436186116821182,10,140.0
80.0,10,85.0,1.6346153846153846,6.894207188440982,7,83.0,0.5019173920091446,3,78.0,0.277064981298913,10,161.0
85.0,11,127.0,2.6458333333333335,6.4892341865977485,7,116.0,0.41642034689163654,4,73.0,0.35892406377740915,11,189.0
90.0,9,62.0,1.1923076923076923,5.989279821847573,4,106.0,0.3487082213441625,5,67.0,0.35722778043822745,9,173.0
95.0,11,31.0,0.5636363636363636,5.639889344875422,3,91.0,0.38174738572913613,7,96.0,0.30581695649524826,10,187.0
100.0,12,55.0,0.9482758620689655,5.009683876075477,5,113.0,0.36089742868730007,6,123.0,0.24092189202269243,11,236.0
105.0,15,117.0,2.0172413793103448,5.12629164746886,6,94.0,0.3783147694190665,8,146.0,0.2730569324841359,14,240.0
110.0,13,61.0,0.9838709677419355,4.9111398926279195,3,77.0,0.3664243339854519,10,160.0,0.24301810971427404,13,237.0
115.0,18,86.0,1.4098360655737705,5.219935870235051,6,83.0,0.36244700032881455,12,181.0,0.2081423084377181,18,264.0
120.0,15,54.0,0.84375,4.864868857471317,6,83.0,0.32686763935206736,9,210.0,0.24023951025928336,15,293.0
125.0,12,45.0,0.703125,5.4751496672887825,5,77.0,0.32290179211532694,7,229.0,0.29874603295162866,12,306.0
130.0,12,55.0,0.8870967741935484,5.172544660999608,2,62.0,0.3260816388309439,10,264.0,0.2704423713525953,12,326.0
135.0,19,129.0,1.9253731343283582,5.567592930606429,4,63.0,0.2964460773130893,15,319.0,0.22816842482503538,19,382.0
140.0,17,117.0,1.6956521739130435,6.114713650498483,6,69.0,0.36823179407656,11,317.0,0.22482918752179085,17,386.0
145.0,15,85.0,1.2142857142857142,6.111445076726798,1,49.0,0.5066870919761418,13,378.0,0.19712453040657302,14,427.0
150.0,16,70.0,1.0769230769230769,5.021586839415633,1,51.0,0.46247308716094393,14,441.0,0.18939415810947954,15,492.0
155.0,13,60.0,0.9090909090909091,4.21329672849407,4,57.0,0.2873954038464442,9,487.0,0.1863215369100197,13,544.0
160.0,7,18.0,0.26865671641791045,4.286103577763805,1,55.0,0.3257588781460834,6,468.0,0.23335938297337744,7,523.0
165.0,16,56.0,0.7887323943661971,4.2682397112175625,6,61.0,0.3042421129646285,9,503.0,0.18857823424242356,15,564.0
170.0,20,72.0,0.9,4.305938176757719,6,66.0,0.2634621260860987,12,541.0,0.19519248252308655,18,607.0
175.0,17,86.0,1.0617283950617284,4.518886612049387,5,85.0,0.24162043545197737,11,569.0,0.19804578206965903,16,654.0
180.0,22,151.0,1.8641975308641976,4.328329587801628,6,76.0,0.2817455573298807,15,611.0,0.21206343588651796,21,687.0
185.0,25,237.0,2.7241379310344827,4.244864947297051,6,81.0,0.23288271903651878,17,690.0,0.2323795455662252,23,771.0
190.0,30,318.0,3.4945054945054945,3.926443110156456,3,68.0,0.2852813614498824,26,800.0,0.17669444985819302,29,868.0
195.0,36,445.0,4.836956521739131,3.8739720375796214,4,72.0,0.2876390540861934,31,929.0,0.14317914750527483,35,1001.0
200.0,36,600.0,6.451612903225806,4.630691058500803,7,98.0,0.2917105855320023,28,1035.0,0.1615614432891984,35,1133.0
205.0,43,793.0,8.526881720430108,4.662127441311014,12,146.0,0.21146663527528767,30,1148.0,0.19314018794428955,42,1294.0
210.0,47,1011.0,11.10989010989011,4.3173192536267155,18,219.0,0.16552793007341365,28,1288.0,0.1902640839032895,46,1507.0
215.0,54,1255.0,14.425287356321839,3.4204613872679865,20,306.0,0.14092224736333203,33,1441.0,0.12718348720110179,53,1747.0
220.0,50,1277.0,15.202380952380953,2.829909741608076,16,333.0,0.19199424244758811,34,1606.0,0.09997874969815715,50,1939.0
225.0,48,1043.0,11.852272727272727,3.0625831234823435,15,390.0,0.2118608078272331,32,1668.0,0.11566340933688715,47,2058.0
230.0,39,793.0,8.714285714285714,2.952654948033724,16,379.0,0.2124696196236725,23,1773.0,0.13753905820499446,39,2152.0
235.0,36,679.0,7.072916666666667,3.6428666312174216,11,425.0,0.2632207039512892,25,1835.0,0.14259015617169024,36,2260.0
240.0,36,492.0,5.072164948453608,4.364304429631624,12,467.0,0.27495550715443035,24,1830.0,0.17320509358640027,36,2297.0
245.0,41,369.0,3.7653061224489797,4.149086670570584,9,512.0,0.24769250269413318,31,1962.0,0.13153099884868652,40,2474.0
250.0,42,339.0,3.53125,3.4911765508537833,14,570.0,0.14589020491197024,27,2090.0,0.1491348469293646,41,2660.0
255.0,45,380.0,3.917525773195876,3.5713066164970506,12,587.0,0.15997790497535014,32,2207.0,0.1565832464751057,44,2794.0
260.0,49,539.0,5.614583333333333,3.8256038060300432,12,552.0,0.20518770019781657,36,2367.0,0.16041981138334968,48,2919.0
265.0,55,655.0,6.55,3.606635932405762,12,613.0,0.26362181812077623,42,2560.0,0.1186852713553864,54,3173.0
270.0,47,557.0,5.626262626262626,3.3375250283623354,9,665.0,0.27825966378429134,38,2663.0,0.1155411167413165,47,3328.0
275.0,55,488.0,4.979591836734694,2.989218798684649,13,745.0,0.23890108761182868,42,2834.0,0.08707478847904786,55,3579.0
280.0,55,612.0,6.181818181818182,2.783505274652344,16,777.0,0.18716372664702577,39,3003.0,0.12091453009904393,55,3780.0
285.0,52,557.0,5.626262626262626,3.155057423759345,12,811.0,0.1989212057695505,39,3175.0,0.13481526789112785,51,3986.0
290.0,49,592.0,5.803921568627451,2.989100977203169,16,811.0,0.16359772234903402,33,3208.0,0.11794769086718856,49,4019.0
295.0,54,618.0,5.885714285714286,3.0430363283378417,13,865.0,0.19710990233454098,40,3374.0,0.13446851291359332,53,4239.0
300.0,58,794.0,7.490566037735849,3.042142032536552,13,919.0,0.2426921698796217,44,3577.0,0.10738106779609403,57,4496.0
305.0,58,923.0,8.39090909090909,3.5854958825767174,16,991.0,0.2182802284826666,41,3759.0,0.12057755282547396,57,4750.0
310.0,60,1044.0,9.757009345794392,3.509542737447512,13,966.0,0.20402527681929827,45,3973.0,0.08625416624139594,58,4939.0
315.0,54,1056.0,9.962264150943396,3.641388736284374,7,925.0,0.24899583187370736,46,4194.0,0.09934506954616232,53,5119.0
320.0,58,1223.0,11.990196078431373,2.4780862608021694,12,978.0,0.1677491013366359,44,4417.0,0.0863697639593793,56,5395.0
325.0,57,748.0,6.990654205607477,2.56184482808691,14,949.0,0.20118121903834607,42,4609.0,0.08133001018341583,56,5558.0
330.0,59,784.0,7.192660550458716,2.7032797096706633,13,916.0,0.2430342184287826,46,4778.0,0.09779596185979735,59,5694.0
335.0,55,728.0,6.5,2.42020601172056,5,931.0,0.24267163178860465,49,4893.0,0.09044206188912013,54,5824.0
340.0,57,594.0,5.120689655172414,2.7462933841097352,10,910.0,0.21583998252579428,46,5085.0,0.08881266528945728,56,5995.0
345.0,57,700.0,5.932203389830509,3.1915003217242495,14,936.0,0.16287122368341095,42,5244.0,0.1104633778954972,56,6180.0
350.0,60,816.0,6.634146341463414,3.2128199839347147,15,982.0,0.14157257470743542,44,5326.0,0.10554103180451511,59,6308.0
355.0,66,972.0,8.23728813559322,3.0643066805334445,17,967.0,0.15141119800491926,48,5563.0,0.113339552980773,65,6530.0
360.0,60,847.0,7.239316239316239,2.6404727504444394,14,983.0,0.1871769499619934,45,5760.0,0.08181124450601687,59,6743.0
365.0,60,847.0,7.239316239316239,3.1239505401290653,23,1110.0,0.199077489383019,37,5940.0,0.09583837577009985,60,7050.0
370.0,64,985.0,8.277310924369749,2.687649616305804,22,1115.0,0.1282607523812692,42,5894.0,0.07612712823362212,64,7009.0
375.0,78,1101.0,9.41025641025641,2.242268729721326,27,1224.0,0.11292025019383424,50,6129.0,0.07619822205274643,77,7353.0
380.0,79,1041.0,9.052173913043479,1.6365546642579634,33,1374.0,0.10012630444681858,46,6194.0,0.06164069425388194,79,7568.0
385.0,66,728.0,6.442477876106195,1.7635590167247759,26,1484.0,0.12597594165698742,40,6359.0,0.07767401869709845,66,7843.0
390.0,76,802.0,7.035087719298246,2.684446224250242,34,1566.0,0.12426966031338717,42,6528.0,0.09006066567811652,76,8094.0
395.0,72,883.0,7.547008547008547,3.0175606511199398,32,1644.0,0.14077583475790276,40,6516.0,0.09688685865305342,72,8160.0
400.0,72,984.0,8.132231404958677,3.0309546705866373,25,1605.0,0.1815109252304185,46,6703.0,0.06856042336079206,71,8308.0
405.0,65,1184.0,10.033898305084746,2.4714098750224447,27,1663.0,0.18079506459267863,37,6872.0,0.09753516737185468,64,8535.0
410.0,57,855.0,7.370689655172414,3.0211145416755403,24,1780.0,0.20765754978406165,32,7000.0,0.11330594487451513,56,8780.0
415.0,65,885.0,7.629310344827586,2.8088880310397584,22,1716.0,0.17240862660307124,42,7200.0,0.08597159832921687,64,8916.0
420.0,66,859.0,7.218487394957983,2.802449731729181,31,1796.0,0.1276189279372209,34,7339.0,0.07359381880440453,65,9135.0
425.0,74,1041.0,8.897435897435898,2.07682305487169,35,1983.0,0.09932694949910226,37,7495.0,0.07294650655272539,72,9478.0
430.0,79,1241.0,11.080357142857142,1.887799946163671,37,2134.0,0.057526421438759995,41,7502.0,0.07680262221847466,78,9636.0
435.0,69,1171.0,10.182608695652174,1.9540066306816024,35,2175.0,0.07074786223533235,34,7433.0,0.10004044997409657,69,9608.0
440.0,64,822.0,6.85,1.8639995847429356,28,2228.0,0.09089638697783148,36,7596.0,0.08318028923242408,64,9824.0
445.0,69,951.0,7.991596638655462,1.9872752065693575,31,2343.0,0.11006383372213784,38,7573.0,0.08553740457291457,69,9916.0
450.0,75,1180.0,9.915966386554622,2.9421087805091353,31,2438.0,0.11589458993750354,44,7736.0,0.11252544087076145,75,10174.0
455.0,73,1300.0,11.016949152542374,3.234094407193867,29,2525.0,0.06170346428050872,44,7941.0,0.10996317865447024,73,10466.0
460.0,57,1163.0,9.85593220338983,3.549061775840166,23,2587.0,0.08359582337288678,34,7824.0,0.1424581995535609,57,10411.0
465.0,62,994.0,9.036363636363637,3.1773237442964413,18,2677.0,0.14817408559002343,43,8009.0,0.13182749161130758,61,10686.0
470.0,67,1289.0,12.276190476190477,2.302506648175299,22,2783.0,0.10944527205755551,44,8215.0,0.10002863899216022,66,10998.0
475.0,66,1432.0,13.383177570093459,2.5678407620097756,22,2747.0,0.11589987796900367,43,8409.0,0.10643205482003602,65,11156.0
480.0,56,1237.0,11.453703703703704,2.997731272449362,18,2596.0,0.1438835558788029,36,8590.0,0.12414070905900892,54,11186.0
485.0,60,1174.0,10.576576576576576,3.0285829071134827,18,2611.0,0.1751760536647596,41,8769.0,0.11708931767827066,59,11380.0
490.0,68,1401.0,12.972222222222221,2.472970280326555,22,2709.0,0.13721400482459023,45,8983.0,0.08806141979280027,67,11692.0
495.0,52,975.0,9.027777777777779,2.6311955180278224,17,2730.0,0.17881018053931605,33,9005.0,0.11216531118947164,50,11735.0
500.0,48,926.0,8.267857142857142,3.264325658938739,12,2688.0,0.1823975950559476,36,9131.0,0.13126936539635892,48,11819.0
505.0,54,909.0,8.416666666666666,3.3751497179106003,11,2481.0,0.23693793835923188,43,9089.0,0.15172768404800688,54,11570.0
510.0,53,1138.0,10.63551401869159,3.177022554615873,11,2182.0,0.2652499463140441,42,9226.0,0.11233244738965419,53,11408.0
515.0,57,1117.0,10.638095238095238,2.444402378490891,9,2139.0,0.2628139000209277,47,9451.0,0.03761429570471571,56,11590.0
520.0,48,913.0,8.864077669902912,1.9992171943977204,11,2148.0,0.1621630745695097,37,9396.0,0.07093006907945877,48,11544.0
525.0,46,794.0,7.634615384615385,2.044447850575203,8,2053.0,0.13856114519439733,38,9553.0,0.06621438500473782,46,11606.0
530.0,46,667.0,6.53921568627451,3.0492132239101406,12,2007.0,0.1822573011989981,34,9710.0,0.11560516438376116,46,11717.0
535.0,47,583.0,5.398148148148148,3.72011216893437,15,2043.0,0.233688084762784,32,9283.0,0.11160026329779152,47,11326.0
540.0,58,745.0,6.834862385321101,3.3917478169608954,21,2132.0,0.20780531373251265,37,8838.0,0.10042919911903088,58,10970.0
545.0,71,1009.0,9.342592592592593,3.0114168360298104,28,2243.0,0.1889281749134017,42,8775.0,0.08309028096852275,70,11018.0
550.0,71,1249.0,11.252252252252251,2.797702341932198,27,2379.0,0.18387537046803612,43,8957.0,0.07662362582377769,70,11336.0
555.0,68,1423.0,13.055045871559633,2.9371959195282074,30,2234.0,0.20116465814996431,37,9095.0,0.1107437270256876,67,11329.0
560.0,62,946.0,8.298245614035087,3.0680447101509785,29,2257.0,0.13302453199921296,31,9234.0,0.13943187096279291,60,11491.0
565.0,68,946.0,8.016949152542374,2.7947575267510194,28,2396.0,0.14812855066640906,39,9406.0,0.12285240953883393,67,11802.0
570.0,70,1021.0,8.579831932773109,2.716551891276344,33,2533.0,0.17742358443691017,36,9565.0,0.10821761358560321,69,12098.0
575.0,69,1119.0,9.403361344537815,2.8411753566980935,31,2693.0,0.14266289298759618,37,9710.0,0.0939671055994581,68,12403.0
580.0,79,1303.0,10.508064516129032,3.094631322556569,38,2858.0,0.1156242341411796,40,9888.0,0.11759783450693402,78,12746.0
585.0,85,1604.0,12.73015873015873,3.1051870197892772,46,3075.0,0.05601759088893936,38,10067.0,0.15423308078150635,84,13142.0
590.0,71,1336.0,10.861788617886178,2.7120077656449157,39,3188.0,0.08707707962280518,31,10200.0,0.12385649623617162,70,13388.0
595.0,82,1512.0,12.49586776859504,2.4863862407122097,38,3363.0,0.10524963123707298,43,10396.0,0.06737138363981289,81,13759.0
600.0,76,1394.0,11.714285714285714,2.702894553336818,43,3555.0,0.09415952680459301,33,10547.0,0.1514502706605347,76,14102.0
605.0,69,961.0,8.14406779661017,2.3943540668708114,39,3812.0,0.11015281237248736,29,10668.0,0.10155527937209216,68,14480.0
610.0,67,816.0,7.221238938053097,2.0962885591383236,31,3880.0,0.06993172606503563,35,10792.0,0.09982056069804544,66,14672.0
615.0,79,903.0,8.0625,1.6049044821836005,40,4075.0,0.056298837580733195,38,10262.0,0.04668625507611642,78,14337.0
620.0,85,1130.0,10.089285714285714,1.2152193570081609,36,4038.0,0.020437922232991537,49,10483.0,0.019173554199855256,85,14521.0
625.0,76,995.0,8.963963963963964,1.6271563366264792,35,4201.0,0.06392706983362174,41,10010.0,0.040448819682505584,76,14211.0
630.0,78,1012.0,9.37037037037037,1.866072777642152,35,4176.0,0.06220494681229715,43,9236.0,0.05941125289438017,78,13412.0
635.0,84,1201.0,11.22429906542056,1.2542763366017875,41,4366.0,0.03004777370387865,43,9091.0,0.028472632188733957,84,13457.0
640.0,69,1089.0,10.89,1.3414205944899387,37,4552.0,0.011500709732029235,32,8896.0,0.07096302504556291,69,13448.0
645.0,66,1063.0,11.072916666666666,1.8787988951207397,38,4518.0,0.009793178804594982,28,8939.0,0.11700179377734088,66,13457.0
650.0,57,868.0,9.333333333333334,2.2576894109803876,28,4292.0,0.026294933415929294,29,8749.0,0.11975283600524711,57,13041.0
655.0,61,935.0,10.625,2.138222638865796,30,4404.0,0.0438573884968097,31,8879.0,0.09113433032940103,61,13283.0
660.0,58,967.0,11.650602409638553,1.831310024844565,30,4461.0,0.026547461140437534,28,8526.0,0.023560277555779763,58,12987.0
665.0,44,907.0,11.3375,2.573345639929053,21,4494.0,0.09222182410108265,23,7198.0,0.06927981307425693,44,11692.0
670.0,45,666.0,8.430379746835444,3.167837499873459,25,4162.0,0.07979278704659797,20,7054.0,0.12860363350629966,45,11216.0
675.0,41,697.0,9.41891891891892,2.645018111006479,22,4191.0,0.07094753994966267,19,7148.0,0.1261129872423836,41,11339.0
680.0,43,829.0,11.356164383561644,2.6642532269899415,21,4203.0,0.12507224307019985,22,7103.0,0.031460208325661765,43,11306.0
685.0,41,608.0,8.56338028169014,1.8137033799924769,20,4216.0,0.041807165244926364,21,7133.0,0.03558924371815546,41,11349.0
690.0,42,667.0,9.528571428571428,2.1490215004596545,16,3984.0,0.12017511611807132,26,7183.0,0.0031733117299373908,42,11167.0
695.0,45,658.0,10.123076923076923,1.7625107193708993,18,3470.0,0.0945915110008405,27,7314.0,0.07811432430885569,45,10784.0
700.0,36,617.0,9.492307692307692,2.2217786989678694,12,3116.0,0.09308215121291852,24,7200.0,0.10544834659221117,36,10316.0
705.0,32,381.0,5.602941176470588,2.8991764943797063,8,2963.0,0.19980520097324242,24,6636.0,0.07647222611887058,32,9599.0
710.0,27,388.0,5.878787878787879,2.9399074019292777,7,3000.0,0.20222699430101895,20,6740.0,0.08844026837338444,27,9740.0
715.0,21,208.0,3.25,2.9635650946895824,6,3037.0,0.10869702182486524,15,6826.0,0.09527564512103719,21,9863.0
720.0,23,143.0,2.306451612903226,3.396649289051671,7,2931.0,0.18835208566843611,16,6902.0,0.11536961826695867,23,9833.0
725.0,21,198.0,3.193548387096774,3.6227609560326917,3,2540.0,0.24365263244821095,18,6990.0,0.13461082005831507,21,9530.0
730.0,31,304.0,4.983606557377049,1.8881498055498316,7,2557.0,0.13948182481267735,24,7072.0,0.06880853992886732,31,9629.0
735.0,34,302.0,5.033333333333333,1.0844057125366928,12,2604.0,0.09512281054898067,22,7160.0,0.022186568004321238,34,9764.0
740.0,29,241.0,3.8870967741935485,1.6077597203083658,11,2645.0,0.13304473040121914,18,6185.0,0.041995213728327756,29,8830.0
745.0,33,297.0,4.790322580645161,2.151663227742593,15,2488.0,0.14821457947440705,18,6067.0,0.11688078827976854,33,8555.0
750.0,28,275.0,4.435483870967742,1.7628535518237602,15,2515.0,0.12820672285635665,13,6104.0,0.07126596985868287,28,8619.0
755.0,36,301.0,4.630769230769231,1.8429728267872587,25,2606.0,0.057392768633310415,11,6160.0,0.05565551324012225,36,8766.0
760.0,36,338.0,4.970588235294118,2.387248007521101,27,2700.0,0.06327099610916584,9,6202.0,0.08142744366247623,36,8902.0
765.0,32,429.0,6.128571428571429,2.9971329427106017,24,2527.0,0.07479775274965464,8,6120.0,0.1925791759378183,32,8647.0
770.0,28,346.0,5.0144927536231885,3.304313017608304,22,2584.0,0.11888166453639337,6,5153.0,0.26666187768767147,28,7737.0
