step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,2,0.0,0.0,3.5676538842380983,1,0.0,0.19716334689167817,1,0.0,0.3367011999919219,2,0.0
10.0,0,0.0,0.0,8.889697818844175,0,0.0,0.6887106402191583,0,0.0,0.622244941623587,0,0.0
15.0,4,2.0,0.1,7.996248416424197,2,2.0,0.5920900358254416,2,0.0,0.5815853827106491,4,2.0
20.0,0,0.0,0.0,8.949113012477346,0,0.0,0.6549971835586534,0,0.0,0.6367034874076438,0,0.0
25.0,5,11.0,0.34375,8.90003305746302,2,1.0,0.6259602965471568,3,10.0,0.5560502375089714,5,11.0
30.0,1,0.0,0.0,8.610002396551518,0,1.0,0.6143259799618865,1,3.0,0.5699807663286145,1,4.0
35.0,7,18.0,0.3829787234042553,8.903827728564421,2,5.0,0.6368153437752979,4,12.0,0.4871584538334123,6,17.0
40.0,6,35.0,0.7142857142857143,8.12341357932644,3,15.0,0.5419688343658162,3,26.0,0.48455329377456446,6,41.0
45.0,5,28.0,0.5490196078431373,7.563675168723566,4,32.0,0.49804349970327405,1,24.0,0.44698702054618467,5,56.0
50.0,7,23.0,0.4791666666666667,6.870488700748688,2,28.0,0.46389822302679407,5,26.0,0.4326602729824185,7,54.0
55.0,10,64.0,1.3617021276595744,8.28899186336725,3,18.0,0.5696469843457014,7,56.0,0.40736044675327254,10,74.0
60.0,7,32.0,0.6274509803921569,7.394358799261374,1,14.0,0.3523990457763771,6,59.0,0.3974263122685523,7,73.0
65.0,11,33.0,0.6226415094339622,7.499847359358352,6,21.0,0.4379262381397482,4,60.0,0.32474871500445185,10,81.0
70.0,9,34.0,0.7083333333333334,5.834387860680693,1,18.0,0.5189242374642207,8,75.0,0.20516747410690347,9,93.0
75.0,6,9.0,0.17307692307692307,6.017533386262382,1,8.0,0.518147266274495,5,80.0,0.16311013396363852,6,88.0
80.0,6,14.0,0.2692307692307692,7.23899186472875,1,8.0,0.5829126471238659,5,69.0,0.2644752849738578,6,77.0
85.0,8,27.0,0.5,7.125220929768452,2,13.0,0.6280483735174862,6,76.0,0.3029546989035709,8,89.0
90.0,12,54.0,0.9642857142857143,6.016184364645047,2,26.0,0.47200245143490815,10,95.0,0.2908864969885853,12,121.0
95.0,12,38.0,0.6666666666666666,5.166210805934772,2,6.0,0.47056001031721645,10,121.0,0.24131464054882903,12,127.0
100.0,9,47.0,0.8245614035087719,6.390632795868986,3,18.0,0.5533397546527361,6,121.0,0.2847082371736051,9,139.0
105.0,9,28.0,0.4745762711864407,6.919740432352982,1,9.0,0.5650238254855106,7,99.0,0.2727895702147265,8,108.0
110.0,15,49.0,0.7903225806451613,5.789554175716781,4,14.0,0.4248226357666829,10,140.0,0.172453726093099,14,154.0
115.0,14,65.0,1.0317460317460319,4.695007036473916,7,49.0,0.3848726062802016,7,177.0,0.18767509829049686,14,226.0
120.0,20,121.0,1.9516129032258065,3.782886066663738,11,93.0,0.18483315653510782,8,195.0,0.2395682051879645,19,288.0
125.0,21,176.0,2.75,4.328249240004881,13,146.0,0.20353514934159747,7,175.0,0.24860342890974318,20,321.0
130.0,15,70.0,1.044776119402985,4.587593471164105,5,124.0,0.2717018932510604,9,212.0,0.2180857382267654,14,336.0
135.0,19,89.0,1.3088235294117647,4.694716591125432,3,72.0,0.3543959160730548,15,270.0,0.2322919506278061,18,342.0
140.0,23,171.0,2.6307692307692307,4.851438882847858,5,37.0,0.4402517270146714,17,335.0,0.1804161352895872,22,372.0
145.0,20,131.0,1.9264705882352942,4.753917274290422,4,56.0,0.46403652797135947,16,405.0,0.15616032589757955,20,461.0
150.0,27,110.0,1.5277777777777777,4.409627220090609,8,103.0,0.36641210102940697,19,457.0,0.14752913834866668,27,560.0
155.0,27,153.0,2.095890410958904,4.2405596556974725,10,110.0,0.23634975003371111,16,494.0,0.18068939161323422,26,604.0
160.0,28,227.0,3.1527777777777777,3.824611826085319,9,134.0,0.1776112855664074,19,528.0,0.18419614657417985,28,662.0
165.0,12,78.0,1.0263157894736843,4.937858008079076,0,99.0,0.37732360421973193,12,515.0,0.20720363741178124,12,614.0
170.0,24,99.0,1.2692307692307692,4.512537118655016,5,64.0,0.3036601331126558,18,590.0,0.19089870226423417,23,654.0
175.0,25,149.0,1.8860759493670887,4.565166678055746,4,56.0,0.3416959173329553,20,681.0,0.18679828837079632,24,737.0
180.0,29,166.0,2.049382716049383,4.109869500598423,7,77.0,0.30065864179332685,21,759.0,0.1925013119089952,28,836.0
185.0,26,178.0,2.119047619047619,4.430882633207204,8,101.0,0.2509878258121314,17,813.0,0.24046826357584647,25,914.0
190.0,31,270.0,3.103448275862069,4.901915670115429,10,137.0,0.277334403316663,20,847.0,0.227434878072693,30,984.0
195.0,32,339.0,3.7666666666666666,5.001042473362239,7,138.0,0.2707106762654458,23,928.0,0.22176182063928448,30,1066.0
200.0,38,445.0,5.0,4.444312950410485,9,153.0,0.21185025167820845,28,1036.0,0.17055939321234376,37,1189.0
205.0,31,362.0,4.113636363636363,3.7075390316819594,6,208.0,0.20809394233004705,25,1159.0,0.16039873579536246,31,1367.0
210.0,34,362.0,4.113636363636363,4.380142241526858,5,222.0,0.2200165555358591,29,1271.0,0.16024010166304492,34,1493.0
215.0,34,370.0,4.3023255813953485,3.622323801142179,8,217.0,0.18274974493349316,26,1307.0,0.10815070152614129,34,1524.0
220.0,46,464.0,5.155555555555556,3.49956862120904,7,221.0,0.21604899361967403,38,1465.0,0.09231572576997217,45,1686.0
225.0,45,545.0,6.123595505617978,2.9433140741031854,8,194.0,0.1955014312646122,36,1654.0,0.10382276554452156,44,1848.0
230.0,53,656.0,7.130434782608695,2.676070120749395,9,228.0,0.24340925299209207,43,1843.0,0.09664352805618683,52,2071.0
235.0,48,581.0,6.052083333333333,3.069878484894876,9,266.0,0.23622428286516053,39,2012.0,0.09157629234289766,48,2278.0
240.0,40,389.0,4.094736842105263,3.2293635089853816,11,337.0,0.21611483259043152,29,2112.0,0.13008671138535396,40,2449.0
245.0,41,334.0,3.443298969072165,3.7272713676385716,9,329.0,0.16080600886189805,32,2199.0,0.16241278789144836,41,2528.0
250.0,43,422.0,4.48936170212766,3.6044650416563737,10,299.0,0.14522979974160133,33,2158.0,0.1535410015887751,43,2457.0
255.0,48,418.0,4.4,3.3776476888243923,9,278.0,0.20733405587563808,38,2318.0,0.12798191915191712,47,2596.0
260.0,50,505.0,5.206185567010309,3.16669727554984,9,321.0,0.2401143841583313,40,2475.0,0.12454023442244667,49,2796.0
265.0,37,476.0,4.907216494845361,3.319295047637739,3,297.0,0.3227632601271718,33,2592.0,0.12209654028118147,36,2889.0
270.0,47,561.0,5.666666666666667,3.699119933884638,8,299.0,0.34042067944282395,38,2768.0,0.10630205460685194,46,3067.0
275.0,45,438.0,4.336633663366337,3.8114607272739116,9,319.0,0.2855511905695254,36,2807.0,0.1037367530558801,45,3126.0
280.0,57,577.0,5.443396226415095,3.154842833456379,7,313.0,0.24105617486883138,49,3025.0,0.08116363346217625,56,3338.0
285.0,57,698.0,6.8431372549019605,2.592837908034384,9,325.0,0.24526066709021338,47,3240.0,0.09708038912991859,56,3565.0
290.0,46,616.0,6.16,2.6580540983005845,12,372.0,0.18710007106547924,33,3377.0,0.12884281807960515,45,3749.0
