step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,2,0.0,0.0,3.06738132093257,1,0.0,0.14780927580766742,1,0.0,0.34466956802448473,2,0.0
10.0,0,0.0,0.0,8.008939366500522,0,0.0,0.5860296755389847,0,0.0,0.5874869148149379,0,0.0
15.0,4,2.0,0.1,7.895116544203418,2,2.0,0.5513055147009155,2,0.0,0.5865087119934427,4,2.0
20.0,0,0.0,0.0,9.933177214357038,0,0.0,0.6708505152263514,0,0.0,0.7916992125002851,0,0.0
25.0,4,5.0,0.15625,9.044216181509007,2,2.0,0.572713982970073,1,1.0,0.687534299551083,3,3.0
30.0,3,13.0,0.3170731707317073,8.600844681018817,0,0.0,0.6196798105691852,2,6.0,0.5928961207606214,2,6.0
35.0,4,18.0,0.3829787234042553,8.52536313793159,2,1.0,0.641260022873037,1,8.0,0.479154670454532,3,9.0
40.0,4,36.0,0.7346938775510204,8.796189229521037,0,0.0,0.6420395422567811,3,19.0,0.600521354792645,3,19.0
45.0,9,64.0,1.3333333333333333,7.627833205023691,2,5.0,0.4829130364634949,6,37.0,0.42814286267580337,8,42.0
50.0,11,98.0,1.96,6.860069299653106,0,9.0,0.4958988249316124,9,70.0,0.30870954269641304,9,79.0
55.0,11,129.0,2.5294117647058822,6.375887220614952,2,4.0,0.41916192433002336,8,107.0,0.33661432135405,10,111.0
60.0,16,193.0,3.641509433962264,6.124708632634988,6,22.0,0.2730374590292577,9,138.0,0.4027552895839193,15,160.0
65.0,6,83.0,1.66,5.8575816975839565,0,17.0,0.4376131176180839,6,139.0,0.26627153560920513,6,156.0
70.0,10,41.0,0.7454545454545455,6.9542497082909245,2,38.0,0.5631212369397076,8,174.0,0.16900484871228022,10,212.0
75.0,8,15.0,0.2727272727272727,7.088818439085856,2,7.0,0.6238382609137118,6,199.0,0.1585791227875335,8,206.0
80.0,10,36.0,0.6545454545454545,7.153442318340784,3,8.0,0.545488152272032,7,205.0,0.20695214979458953,10,213.0
85.0,13,91.0,1.7843137254901962,7.093330623314168,4,26.0,0.5105845238205656,9,236.0,0.28587496942821367,13,262.0
90.0,13,71.0,1.290909090909091,6.3575929574559,1,19.0,0.4723456601651565,11,240.0,0.28671610759960725,12,259.0
